,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
STEP,VELO(m/Sec),SPEC,,D/F(N),D/F(N),D/F(N),D/F(N),D/F(N),D/F(N),D/F(N),D/F(N),D/F(N),D/F(N),D/F(N),D/F(N),D/F(N),D/F(N),D/F(N),D/F(N),D/F(N),D/F(N),D/F(N),D/F(N),AVE,MAX,MIN
1,0.050,135.0,40.0,123.2,126.4,127.4,136.6,129.2,132.1,138.4,132.7,130.8,128.9,129.6,126.2,125.9,138.3,126.3,136.0,129.7,119.3,126.0,124.4,130.6,138.4,123.2,
2,0.090,255.0,45.0,244.1,238.2,241.5,255.3,245.9,252.8,259.0,255.3,251.2,245.7,245.4,247.5,247.8,255.4,247.0,261.0,250.1,215.0,243.5,240.4,248.9,259.0,238.2,
3,0.130,410.0,65.0,395.9,377.3,387.5,394.3,389.8,398.0,408.0,406.9,398.5,400.5,397.0,399.8,388.6,404.2,395.8,395.5,400.5,339.0,387.2,377.1,395.7,408.0,377.3,
4,0.260,695.0,70.0,665.2,670.3,662.6,648.0,655.1,674.6,676.8,680.1,683.8,684.5,666.3,654.2,672.7,682.8,656.0,694.3,650.3,624.0,653.5,638.9,670.1,684.5,648.0,
5,0.390,830.0,85.0,811.2,819.4,806.6,779.2,791.7,817.5,820.1,816.9,817.9,832.5,796.4,802.4,819.5,820.4,788.8,824.6,784.7,766.6,792.3,768.8,811.3,832.5,779.2,
6,0.520,950.0,95.0,943.8,947.4,933.3,902.9,917.3,945.6,952.6,952.8,945.7,963.7,912.9,931.2,938.4,946.9,917.8,943.7,904.7,899.6,915.7,889.5,940.5,963.7,902.9,
7,1.040,1515.0,155.0,1516.1,1521.3,1468.8,1457.5,1462.5,1511.0,1524.2,1502.0,1496.7,1522.3,1471.3,1499.3,1484.3,1489.2,1502.5,1483.0,1452.5,1480.0,1478.2,1434.4,1498.2,1524.2,1457.5,
8,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
